,Price,city,History,Millage,Ratings,Year,Make,Model,Transmission,Age
9751,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9752,,Lagos,foreign,,3.0,2017.0,Toyota,Highlander,Automatic,3.0
9753,,Lagos,foreign,,3.0,2008.0,Honda,CR-V,Automatic,12.0
9754,,Lagos,foreign,,3.0,2005.0,Toyota,Highlander,Automatic,15.0
9755,,Lagos,foreign,,3.0,2008.0,Lexus,ES 350,Automatic,12.0
9756,,Lagos,foreign,,3.0,2007.0,Acura,MDX,Automatic,13.0
9757,,Lagos,foreign,,3.0,2011.0,Toyota,Sienna,Automatic,9.0
9758,,Lagos,foreign,,3.0,2010.0,Mercedes-Benz,C 300,Automatic,10.0
9759,,Lagos,foreign,,3.0,2005.0,Honda,Pilot,Automatic,15.0
9760,,Lagos,foreign,,3.0,2007.0,Toyota,RAV 4,Automatic,13.0
9761,,Lagos,foreign,,3.0,2007.0,Toyota,Highlander,Automatic,13.0
9762,,Lagos,foreign,,3.0,2006.0,Lexus,RX 200,Automatic,14.0
9763,,Lagos,foreign,,3.0,2006.0,Toyota,Tacoma,Automatic,14.0
9764,,Lagos,foreign,,3.0,2009.0,Acura,MDX,Automatic,11.0
9765,,Lagos,foreign,,3.0,2008.0,Lexus,RX 200,Automatic,12.0
9766,,Rivers,foreign,,3.0,2013.0,Toyota,Camry,Automatic,7.0
9767,,Lagos,foreign,,3.0,2002.0,Lexus,RX 300,Automatic,18.0
9768,,Lagos,foreign,,3.0,2001.0,Toyota,Camry,Automatic,19.0
9769,,Lagos,foreign,,3.0,2013.0,Toyota,Highlander,Automatic,7.0
9770,,Lagos,foreign,,3.0,2005.0,Lexus,GX 470,Automatic,15.0
9771,,Lagos,foreign,,3.0,2013.0,Land,Rover Range Rover,Automatic,7.0
9773,,Lagos,foreign,,3.0,2009.0,Toyota,Highlander,Automatic,11.0
9774,,Lagos,foreign,,3.0,2016.0,Toyota,Highlander,Automatic,4.0
9775,,Lagos,foreign,,3.0,2012.0,Mercedes-Benz,C 300,Automatic,8.0
9776,,Lagos,foreign,,3.0,2003.0,Toyota,Camry,Automatic,17.0
9777,,Lagos,foreign,,3.0,2015.0,Lexus,GX 470,Automatic,5.0
9778,,Lagos,foreign,,3.0,2005.0,Toyota,4-Runner,Automatic,15.0
9779,,Lagos,foreign,,3.0,2012.0,Lexus,GX 470,Automatic,8.0
9780,,Lagos,foreign,,3.0,2011.0,Toyota,Camry,Automatic,9.0
9781,,Lagos,foreign,,3.0,2003.0,Mercedes-Benz,ML 350,Automatic,17.0
9782,,Lagos,foreign,,3.0,2019.0,Toyota,Hilux,Automatic,1.0
9783,,Lagos,foreign,,3.0,2013.0,Mercedes-Benz,ML 350,Automatic,7.0
9784,,Lagos,foreign,,3.0,2011.0,Toyota,Camry,Automatic,9.0
